path,title,extracted_at,non_page_by_convention,word_count,heading_count,heading_max_depth,code_fence_count,code_block_density,internal_link_count,todo_flag,days_since_update,days_since_update_raw,age_days,median_line_age_days,last_update_commit_msg,commit_count,author_count,flesch_reading_ease,words_per_heading,staleness_to_age_ratio
website/docs/api/misc/eslint-plugin/no-untranslated-text.mdx,no-untranslated-text,2026-08-17T15:06:15.936883+00:00,False,137,5,2,4,29.2,2,False,1326,163,1570,1564,docs(website): use .mdx extension for every docs (#8490),5,3,,27.4,0.84
website/docs/api/misc/eslint-plugin/prefer-docusaurus-heading.mdx,prefer-docusaurus-heading,2026-08-17T15:06:15.936883+00:00,False,37,2,2,2,54.05,1,False,1305,163,1305,1305,feat(eslint-plugin): new prefer-docusaurus-heading rule (#8384),1,1,,18.5,1.0
website/docs/api/misc/eslint-plugin/string-literal-i18n-messages.mdx,string-literal-i18n-messages,2026-08-17T15:06:15.936883+00:00,False,90,4,2,2,22.22,2,False,1326,163,1570,1565,docs(website): use .mdx extension for every docs (#8490),3,3,62.88,22.5,0.84
website/docs/api/misc/logger/logger.mdx,📦 logger,2026-08-17T15:06:15.936883+00:00,False,468,3,3,1,2.14,0,False,1067,163,1566,1566,"fix(theme): make warning a first-class admonition, and deprecate caution admonition (#9308)",9,3,59.86,156.0,0.68
website/docs/api/plugin-methods/README.mdx,Plugin Method References,2026-08-17T15:06:15.936883+00:00,False,212,6,3,2,9.43,3,True,139,139,1700,1699,docs(plugin-api): remove unimplemented dev server hooks (#11867),10,5,52.55,35.33,0.08
website/docs/api/plugin-methods/extend-infrastructure.mdx,Extending infrastructure,2026-08-17T15:06:15.936883+00:00,False,390,6,2,5,12.82,0,False,1038,163,1700,1700,feat(core): support TypeScript + ESM configuration (#9317),6,3,60.32,65.0,0.61
website/docs/api/plugin-methods/i18n-lifecycles.mdx,I18n lifecycles,2026-08-17T15:06:15.936883+00:00,False,170,5,2,4,23.53,1,False,1038,163,1700,1700,feat(core): support TypeScript + ESM configuration (#9317),6,3,54.51,34.0,0.61
website/docs/api/plugin-methods/lifecycle-apis.mdx,Lifecycle APIs,2026-08-17T15:06:15.936883+00:00,False,689,19,4,16,23.22,3,False,576,163,1700,1700,"feat(core): new `postBuild({routesBuildMetadata})` API, deprecate `head` attribute + v4 future flag (#10850)",19,6,66.11,36.26,0.34
website/docs/api/plugin-methods/static-methods.mdx,Static methods,2026-08-17T15:06:15.936883+00:00,False,260,7,3,2,7.69,0,False,1038,163,1700,1700,feat(core): support TypeScript + ESM configuration (#9317),5,3,50.75,37.14,0.61
website/docs/api/plugins/_partial-tags-file-api-ref-section.mdx,A partial tag definition is also valid,2026-08-17T15:06:15.936883+00:00,True,118,3,3,3,25.42,0,False,807,163,807,807,"feat(docs, blog): add support for `tags.yml`, predefined list of tags (#10137)",1,1,72.31,39.33,1.0
website/docs/api/plugins/overview.mdx,Docusaurus plugins,2026-08-17T15:06:15.936883+00:00,False,68,3,2,0,0.0,13,False,80,80,2086,1542,break(google-analytics): remove deprecated Google Analytics plugin (#12081),10,5,,22.67,0.04
website/docs/api/plugins/plugin-client-redirects.mdx,📦 plugin-client-redirects,2026-08-17T15:06:15.936883+00:00,False,313,7,4,6,19.17,1,False,894,163,2086,1693,docs: update legacy MDX v1 links to markdown links (#9913),13,6,53.56,44.71,0.43
website/docs/api/plugins/plugin-content-blog.mdx,Welcome Docusaurus,2026-08-17T15:06:15.936883+00:00,False,1923,18,4,18,9.36,8,False,38,38,2086,1655,docs: fix grammar in slug front matter descriptions (#12261),65,23,62.07,106.83,0.02
